scenario_id,workflow,fixture_path,response_contract,expected_answer_included,required_result
PUB-01,batch,evaluation/public_fixtures/PUB-01.json,evaluation/contracts/batch_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-02,batch,evaluation/public_fixtures/PUB-02.json,evaluation/contracts/batch_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-03,batch,evaluation/public_fixtures/PUB-03.json,evaluation/contracts/batch_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-04,pv,evaluation/public_fixtures/PUB-04.json,evaluation/contracts/pv_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-05,pv,evaluation/public_fixtures/PUB-05.json,evaluation/contracts/pv_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-06,pv,evaluation/public_fixtures/PUB-06.json,evaluation/contracts/pv_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-07,supply,evaluation/public_fixtures/PUB-07.json,evaluation/contracts/supply_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-08,supply,evaluation/public_fixtures/PUB-08.json,evaluation/contracts/supply_response.schema.json,no,"record pass/fail, evidence and reviewer outcome"
PUB-09,security,evaluation/public_fixtures/PUB-09.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
PUB-10,reliability,evaluation/public_fixtures/PUB-10.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
PUB-11,privacy,evaluation/public_fixtures/PUB-11.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
PUB-12,integration,evaluation/public_fixtures/PUB-12.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
PUB-13,agent,evaluation/public_fixtures/PUB-13.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
PUB-14,finops,evaluation/public_fixtures/PUB-14.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
PUB-15,clinical,evaluation/public_fixtures/PUB-15.json,participant-defined non-executing contract,no,"record pass/fail, evidence and reviewer outcome"
