dataset,column,inferred_type,description,nullable_observed,example
access_cache.csv,user,string,User or account identifier,no,contractor_77
access_cache.csv,cached_until,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-08-03T10:00:00Z
access_cache.csv,revoked_at,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-08-01T05:00:00Z
access_logs.csv,event_id,string,Identifier,no,AL-1
access_logs.csv,user,string,User or account identifier,no,lab_shared_night
access_logs.csv,system,string,Synthetic source field; interpret in dataset and case context,no,CDS
access_logs.csv,time,date_or_datetime,Source event time,no,2026-07-23T23:15:00Z
access_logs.csv,action,string,Synthetic source field; interpret in dataset and case context,no,approve_sequence
adverse_events.csv,case_id,string,Identifier,no,PV-1001
adverse_events.csv,verbatim,string,Synthetic source field; interpret in dataset and case context,no,anaphylactic reaction
adverse_events.csv,meddra_version,number,Source version,no,27.1
adverse_events.csv,pt,string,Synthetic source field; interpret in dataset and case context,no,Anaphylactic reaction
agent_runs.csv,run_id,string,Identifier,no,AR-77
agent_runs.csv,workflow,string,Synthetic source field; interpret in dataset and case context,no,supply_recovery
agent_runs.csv,checkpoint,string,Synthetic source field; interpret in dataset and case context,no,cp-4
agent_runs.csv,state_age_minutes,integer,Synthetic source field; interpret in dataset and case context,no,380
agent_runs.csv,draft_reservations,string,Synthetic source field; interpret in dataset and case context,no,DR-1;DR-2
agent_runs.csv,resume_result,string,Synthetic source field; interpret in dataset and case context,no,duplicates_created
ai_use_boundaries.csv,use_case,string,Synthetic source field; interpret in dataset and case context,no,batch evidence
ai_use_boundaries.csv,allowed,string,Synthetic source field; interpret in dataset and case context,no,"reconcile, cite, flag, abstain"
ai_use_boundaries.csv,prohibited,string,Synthetic source field; interpret in dataset and case context,no,release/reject/reprocess/recall
allocation_constraints.csv,constraint,string,Synthetic source field; interpret in dataset and case context,no,quality_released_only
allocation_constraints.csv,priority,string,Synthetic source field; interpret in dataset and case context,no,hard
api_contract_versions.csv,api,string,Synthetic source field; interpret in dataset and case context,no,LIMS result
api_contract_versions.csv,version,string,Source version,no,v1
api_contract_versions.csv,unit_field,string,Reported unit; do not silently convert,yes,unit
api_contract_versions.csv,status_field,string,Source-record lifecycle or business status,yes,status
api_contract_versions.csv,date_semantics,string,Source-record date,yes,precision variable
assay_results.csv,assay_id,string,Identifier,no,AS-100
assay_results.csv,compound_code,string,Synthetic source field; interpret in dataset and case context,no,BX-17
assay_results.csv,result,number,Synthetic source field; interpret in dataset and case context,no,84.2
assay_results.csv,unit,string,Reported unit; do not silently convert,no,% potency
assay_results.csv,reagent_lot,string,Synthetic source field; interpret in dataset and case context,no,RG-77
assay_results.csv,instrument,string,Synthetic source field; interpret in dataset and case context,no,INS-03
assay_results.csv,date,date_or_datetime,Source-record date,no,2026-07-18
audit_findings.csv,finding_id,string,Identifier,no,AF-1
audit_findings.csv,area,string,Synthetic source field; interpret in dataset and case context,no,data integrity
audit_findings.csv,finding,string,Synthetic source field; interpret in dataset and case context,no,shared accounts and missing original records
audit_findings.csv,status,string,Source-record lifecycle or business status,no,open
audit_trails.csv,system,string,Synthetic source field; interpret in dataset and case context,no,LIMS-4
audit_trails.csv,event,string,Synthetic source field; interpret in dataset and case context,no,audit_capture_disabled
audit_trails.csv,start,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-07-26T00:11:00Z
audit_trails.csv,end,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-07-26T00:58:00Z
audit_trails.csv,user,string,User or account identifier,no,svc_admin
authority_correspondence.csv,document,string,Synthetic source field; interpret in dataset and case context,no,EMA_letter_2026_114.pdf
authority_correspondence.csv,local_path,string,Synthetic source field; interpret in dataset and case context,no,source_documents/EMA_letter_2026_114.md
authority_correspondence.csv,commitment_id,string,Identifier,no,PMC-88
authority_correspondence.csv,text_due_date,string,Source-record date,no,within 60 calendar days of receipt
authority_correspondence.csv,tracker_due_date,date_or_datetime,Source-record date,no,2026-09-30
authority_correspondence.csv,receipt_time,date_or_datetime,Source event time,no,2026-07-28T09:14:00Z
backup_inventory.csv,system,string,Synthetic source field; interpret in dataset and case context,no,ClinicalLake
backup_inventory.csv,primary,string,Synthetic source field; interpret in dataset and case context,no,DE
backup_inventory.csv,backup,string,Synthetic source field; interpret in dataset and case context,no,SG
backup_inventory.csv,encryption,boolean_like,Synthetic source field; interpret in dataset and case context,no,yes
backup_inventory.csv,approval,string,Synthetic source field; interpret in dataset and case context,no,missing
batches.csv,batch_id,string,Identifier,no,NCB204-B24071
batches.csv,product_id,string,Identifier,no,NCB-204
batches.csv,site,string,Synthetic source field; interpret in dataset and case context,no,CMO-IE
batches.csv,status,string,Source-record lifecycle or business status,no,quality_hold
batches.csv,manufacture_date,date_or_datetime,Source-record date,no,2026-07-10
board_requests.csv,request_id,string,Identifier,no,BR-01
board_requests.csv,metric,string,Synthetic source field; interpret in dataset and case context,no,release_lead_time
board_requests.csv,target,number,Synthetic source field; interpret in dataset and case context,no,-14%
board_requests.csv,constraint,string,Synthetic source field; interpret in dataset and case context,no,no specification or Quality-authority change
board_requests.csv,due_date,date_or_datetime,Source-record date,no,2026-11-30
candidate_outputs.csv,output_id,string,Identifier,no,CO-1
candidate_outputs.csv,workflow,string,Synthetic source field; interpret in dataset and case context,no,batch_review
candidate_outputs.csv,summary,string,Synthetic source field; interpret in dataset and case context,no,All critical evidence complete; recommend progression
candidate_outputs.csv,omitted_fact,string,Synthetic source field; interpret in dataset and case context,no,open sterility excursion
candidate_outputs.csv,status,string,Source-record lifecycle or business status,no,unsafe_candidate
capa_records.csv,capa_id,string,Identifier,no,CAPA-31
capa_records.csv,action,string,Synthetic source field; interpret in dataset and case context,no,operator retraining
capa_records.csv,effectiveness_check,string,Synthetic source field; interpret in dataset and case context,no,no recurrence under code mixing_time
capa_records.csv,result,string,Synthetic source field; interpret in dataset and case context,no,effective
certificates_analysis.csv,coa_id,string,Identifier,no,COA-RG78
certificates_analysis.csv,material_lot,string,Synthetic source field; interpret in dataset and case context,no,RG-78
certificates_analysis.csv,source,string,Originating source,no,manual transcription
certificates_analysis.csv,signature,string,Synthetic source field; interpret in dataset and case context,no,not available
certificates_analysis.csv,value,number,Source-reported value,no,99.1%
change_controls.csv,change_id,string,Identifier,no,CC-77
change_controls.csv,system,string,Synthetic source field; interpret in dataset and case context,no,MES
change_controls.csv,change,string,Synthetic source field; interpret in dataset and case context,no,vendor hotfix 11.2.4
change_controls.csv,type,string,Synthetic source field; interpret in dataset and case context,no,emergency
change_controls.csv,retrospective_approval,string,Synthetic source field; interpret in dataset and case context,no,missing
cleaning_validation.csv,equipment,string,Synthetic source field; interpret in dataset and case context,no,BLEND-04
cleaning_validation.csv,previous_product,string,Product identifier or alias,no,NCX-101
cleaning_validation.csv,next_product,string,Product identifier or alias,no,HP-NEW
cleaning_validation.csv,validation_scope,string,Identifier,no,NCX only
cleaning_validation.csv,status,string,Source-record lifecycle or business status,no,gap
clinical_trials.csv,trial_id,string,Identifier,no,NCB204-301
clinical_trials.csv,phase,string,Synthetic source field; interpret in dataset and case context,no,III
clinical_trials.csv,indication,string,Synthetic source field; interpret in dataset and case context,no,autoimmune disease
clinical_trials.csv,status,string,Source-record lifecycle or business status,no,recruiting
clinical_trials.csv,countries,string,Synthetic source field; interpret in dataset and case context,no,"US,DE,IN,AE"
cmo_capacity.csv,cmo,string,Synthetic source field; interpret in dataset and case context,no,CMO-IE
cmo_capacity.csv,window,string,Synthetic source field; interpret in dataset and case context,no,2026-W34
cmo_capacity.csv,capacity_batches,integer,Batch or lot identifier,no,2
cmo_capacity.csv,promised_NTG,integer,Synthetic source field; interpret in dataset and case context,no,2
cmo_capacity.csv,promised_other_sponsor,integer,Synthetic source field; interpret in dataset and case context,no,1
commercial_forecast.csv,product_id,string,Identifier,no,NCX-101
commercial_forecast.csv,market,string,Synthetic source field; interpret in dataset and case context,no,EU
commercial_forecast.csv,annual_units,integer,Reported unit; do not silently convert,no,310000
commercial_forecast.csv,forecast_confidence,number,Identifier,no,0.62
commercial_use_requests.csv,request_id,string,Identifier,no,CU-11
commercial_use_requests.csv,dataset,string,Synthetic source field; interpret in dataset and case context,no,LIC-OMX-4
commercial_use_requests.csv,proposed_use,string,Synthetic source field; interpret in dataset and case context,no,HCP segmentation
commercial_use_requests.csv,status,string,Source-record lifecycle or business status,no,pending
compounds.csv,compound_code,string,Synthetic source field; interpret in dataset and case context,no,BX-17
compounds.csv,source_org,string,Originating source,no,BIOX
compounds.csv,structure_hash,string,Integrity hash,no,abc91
compounds.csv,salt_form,string,Synthetic source field; interpret in dataset and case context,no,mesylate
consents.csv,consent_id,string,Identifier,no,C-044
consents.csv,subject_id,string,Identifier,no,S-301-044
consents.csv,purpose,string,Synthetic source field; interpret in dataset and case context,no,trial_and_biomarker
consents.csv,status,string,Source-record lifecycle or business status,no,withdrawn_biomarker
consents.csv,effective_time,date_or_datetime,Source event time,no,2026-07-20T10:15:00+05:30
continuity_requirements.csv,workflow,string,Synthetic source field; interpret in dataset and case context,no,batch_review
continuity_requirements.csv,max_ai_outage_days,integer,Synthetic source field; interpret in dataset and case context,yes,14
continuity_requirements.csv,manual_runbook,string,Synthetic source field; interpret in dataset and case context,no,required
continuity_requirements.csv,max_ai_outage_hours,integer,Synthetic source field; interpret in dataset and case context,yes,0
controlled_vocabularies.csv,domain,string,Synthetic source field; interpret in dataset and case context,no,dose_form
controlled_vocabularies.csv,code,string,Synthetic source field; interpret in dataset and case context,no,DF-001
